knot,crossings,s_ub,exact_s,e_ub,e_ub_minus_s_ub,source_sticks,input_status,e_status
K11a283,11,11,,11,0,11,unchecked,reported_only
K11a284,11,10,,10,0,10,unchecked,reported_only
K11a285,11,11,,11,0,11,unchecked,reported_only
K11a286,11,11,,11,0,11,unchecked,reported_only
K11a287,11,10,,10,0,10,unchecked,reported_only
K11a288,11,10,,11,1,10,unchecked,reported_only
K11a289,11,11,,11,0,11,matched,reported_only
K11a29,11,11,,,,11,unchecked,none
K11a290,11,11,,11,0,11,unchecked,reported_only
K11a291,11,11,,,,11,unchecked,none
K11a292,11,11,,,,11,unchecked,none
K11a293,11,11,,12,1,11,unchecked,reported_only
K11a294,11,11,,,,11,unchecked,none
K11a295,11,11,,12,1,11,unchecked,reported_only
K11a296,11,11,,,,11,unchecked,none
K11a297,11,11,,,,11,unchecked,none
K11a298,11,11,,,,11,unchecked,none
K11a299,11,11,,,,11,unchecked,none
K11a3,11,11,,,,11,unchecked,none
K11a30,11,11,,12,1,11,matched,reported_only
K11a300,11,11,,,,11,unchecked,none
K11a301,11,10,,10,0,10,unchecked,reported_only
K11a302,11,10,,11,1,10,unchecked,reported_only
K11a303,11,11,,12,1,11,unchecked,reported_only
K11a304,11,11,,,,11,unchecked,none
K11a305,11,11,,11,0,11,unchecked,reported_only
K11a306,11,11,,,,11,unchecked,none
K11a307,11,11,,,,11,unchecked,none
K11a308,11,11,,,,11,unchecked,none
K11a309,11,11,,,,11,unchecked,none
K11a31,11,11,,,,11,unchecked,none
K11a310,11,11,,,,11,matched,none
K11a311,11,11,,,,11,unchecked,none
K11a312,11,11,,11,0,11,unchecked,reported_only
K11a313,11,11,,11,0,11,unchecked,reported_only
K11a314,11,10,,11,1,10,unchecked,reported_only
K11a315,11,11,,11,0,11,unchecked,reported_only
K11a316,11,11,,11,0,11,unchecked,reported_only
K11a317,11,11,,,,11,unchecked,none
K11a318,11,11,,,,11,unchecked,none
K11a319,11,11,,,,11,unchecked,none
K11a32,11,11,,,,11,unchecked,none
K11a320,11,11,,,,11,unchecked,none
K11a321,11,11,,,,11,unchecked,none
